x,y,Ux,Uy,N,Q,M,pile_number
0.1375,-1.104,-0.268287356287254,-0.14543332621665,-45.8840815951334,6.81863432204095,-16.1324754447303,1.0
0.1375,-1.13119744429161,-0.269210316885723,-0.14500010293247,-45.890863109643,6.78712541682994,-15.9474585476373,1.0
0.1375,-1.15839488858323,-0.270200673511982,-0.14456795135676,-45.8976494089773,6.74019160016519,-15.7634332248839,1.0
0.1375,-1.18559233287484,-0.271220700289277,-0.144137193510638,-45.9044357083116,6.67939653479485,-15.5808674407387,1.0
0.1375,-1.21278977716646,-0.272247644857093,-0.143707501601792,-45.9112172228211,6.60630388346713,-15.4002166768256,1.0
0.1375,-1.21278977716646,-0.272247644857093,-0.143707501601792,-45.9112225584653,6.6064307388047,-15.4002166768256,1.0
0.1375,-1.27360511141677,-0.274542565882996,-0.142756761101346,-45.9263864858997,6.42926047468376,-15.0037739795467,1.0
0.1375,-1.33442044566708,-0.276802995599215,-0.141811285713049,-45.9415611125278,6.22398220330558,-14.6187992609274,1.0
0.1375,-1.3952357799174,-0.279020498677076,-0.140872634844497,-45.9567357391558,5.99166026388706,-14.2471198364779,1.0
0.1375,-1.45605111416771,-0.28119103180449,-0.139939186089348,-45.9718996665901,5.7333589956451,-13.8905476468905,1.0
0.1375,-1.45605111416771,-0.28119103180449,-0.139939186089348,-45.9719115974535,5.76720848095297,-13.8905476468905,1.0
0.1375,-1.59203833562578,-0.285819621931493,-0.137900881941523,-46.0058191700023,5.20237254210177,-13.1468044444413,1.0
0.1375,-1.72802555708386,-0.290133289252371,-0.135887893649173,-46.0397506666753,4.81862236974246,-12.467509177951,1.0
0.1375,-1.86401277854193,-0.294115080279227,-0.133907480553827,-46.0736821633484,4.62421274965104,-11.8273814183483,1.0
0.1375,-2.0,-0.297715264211374,-0.131951715859759,-46.1075897358974,4.62739846760351,-11.2008114588661,1.0
0.1375,-2.0,-0.297715264211374,-0.131951715859759,-46.1076040423013,4.64038120297646,-11.2008114588661,1.0
0.1375,-2.1,-0.298447065866271,-0.130544884538723,-46.1325384237883,4.6838750553084,-10.7348186237945,1.0
0.1375,-2.2,-0.29847174402507,-0.129144072783812,-46.157490398212,4.74107649821981,-10.2635792299038,1.0
0.1375,-2.3,-0.297796617302143,-0.127751034259635,-46.1824423726356,4.81228091943526,-9.78591766892856,1.0
0.1375,-2.4,-0.296419337989631,-0.126363897492289,-46.2073767541225,4.89778370667928,-9.30064722890261,1.0
0.1375,-2.4,-0.296419337989631,-0.126363897492289,-46.2073906975962,4.8953463622428,-9.30064722890261,1.0
0.1375,-2.53,-0.293616758939241,-0.124583452607056,-46.2398053935293,5.01991170884345,-8.65638023170473,1.0
0.1375,-2.66,-0.289695096327888,-0.122812665883044,-46.2722429602802,5.15165429842224,-7.99515585534702,1.0
0.1375,-2.79,-0.284701967754377,-0.121054310313394,-46.3046805270311,5.29092966126355,-7.31631431617196,1.0
0.1375,-2.92,-0.278689034217425,-0.119305361448789,-46.3370952229642,5.43809332765173,-6.61917597979956,1.0
0.1375,-2.92,-0.278689034217425,-0.119305361448789,-46.337110985152,5.43638971030423,-6.61917597979956,1.0
0.1375,-3.05,-0.271650288555821,-0.117580646130708,-46.3695256810853,5.58474858567921,-5.90305747762691,1.0
0.1375,-3.18,-0.263632260327925,-0.115864991214916,-46.4019632478363,5.7407620114193,-5.16679955284846,1.0
0.1375,-3.31,-0.254656250619983,-0.114160993159835,-46.4344008145873,5.90401991190607,-4.40980064453554,1.0
0.1375,-3.44,-0.244740308250206,-0.112465811896745,-46.4668155105204,6.07411221152106,-3.6314686501248,1.0
0.1375,-3.44,-0.244740308250206,-0.112465811896745,-46.4668312727084,6.07345493109912,-3.6314686501248,1.0
0.1375,-3.57,-0.233879786850892,-0.110793330559461,-46.4992459686416,6.251881868552,-2.83056120504542,1.0
0.1375,-3.7,-0.222073055701851,-0.109129330340684,-46.5316835353927,6.43443353672174,-2.00578792285759,1.0
0.1375,-3.83,-0.209288441682148,-0.107476236454809,-46.5641211021438,6.62051079978924,-1.15706915869443,1.0
0.1375,-3.96,-0.195491100478348,-0.105831387426626,-46.596535798077,6.80951452193535,-0.284341167428063,1.0
0.1375,-3.96,-0.195491100478348,-0.105831387426626,-46.5965515602649,6.80704984419879,-0.284341167428063,1.0
0.1375,-4.09,-0.180627709361713,-0.104207750971364,-46.6289662561982,6.99575602450736,0.61271183300378,1.0
0.1375,-4.22,-0.164628312960732,-0.102592033645592,-46.6614038229492,7.17504762898618,1.53416947077463,1.0
0.1375,-4.35,-0.147403812922314,-0.100986494361439,-46.6938413897002,7.34304941881008,2.47816638979823,1.0
0.1375,-4.48,-0.128849628989341,-0.0993886448140261,-46.7262560856334,7.49788615515388,3.44277031801125,1.0
0.1375,-4.48,-0.128849628989341,-0.0993886448140261,-46.7262718478207,7.48644992396401,3.44277031801125,1.0
0.1375,-4.61,-0.108836691377533,-0.097810563723766,-46.7586865437536,7.6233920777561,4.42516240996093,1.0
