x,y,Ux,Uy,N,Q,M,PUx,PUy,PUtot,pile_number
0.1375,-1.104,-0.262117458032477,-0.145681153264857,-46.9829290275016,7.18189943610788,-17.2316394905325,-9.86641171039082e-05,-4.82769019072293e-06,9.87821572778774e-05,1.0
0.1375,-1.13119744429161,-0.263036595219504,-0.145272271334229,-46.9909995902323,7.15075570607372,-17.0367404728536,-9.84919679467566e-05,-4.82565292259096e-06,9.86101144718646e-05,1.0
0.1375,-1.15839488858323,-0.264023321931375,-0.1448643508376,-46.9990758473075,7.10458959196623,-16.8428142981008,-9.83200225164182e-05,-4.82361519971164e-06,9.84382755396694e-05,1.0
0.1375,-1.18559233287484,-0.265040795832563,-0.144457680858788,-47.0071521043827,7.04516621881535,-16.6503179241917,-9.8148244433105e-05,-4.82157747683232e-06,9.82666041677722e-05,1.0
0.1375,-1.21278977716646,-0.266066156851554,-0.144051967425482,-47.0152226671131,6.97425071165099,-16.4596941468615,-9.79766191449016e-05,-4.81954020870035e-06,9.80950858447475e-05,1.0
0.1375,-1.21278977716646,-0.266066156851554,-0.144051967425482,-47.0152290170143,6.97415138263759,-16.4596941468615,-9.79766191449016e-05,-4.81954020870035e-06,9.80950858447475e-05,1.0
0.1375,-1.27360511141677,-0.26836087121036,-0.143153812187732,-47.0332753438966,6.80418249190594,-16.0406813785064,-9.75932416622527e-05,-4.81498409499181e-06,9.77119485527839e-05,1.0
0.1375,-1.33442044566708,-0.270625521832398,-0.142260384947958,-47.0513344037205,6.60679613809472,-15.6326584279061,-9.72101843217388e-05,-4.81042752653593e-06,9.7329133094128e-05,1.0
0.1375,-1.3952357799174,-0.27285156611115,-0.141373088132031,-47.0693934635443,6.38244572269855,-15.2374529468978,-9.6827105153352e-05,-4.8058714128274e-06,9.69462979820009e-05,1.0
0.1375,-1.45605111416771,-0.275034779901735,-0.140490465887186,-47.0874397904263,6.13158464721201,-14.8568883789296,-9.64436767389998e-05,-4.80131529911887e-06,9.65631162066461e-05,1.0
0.1375,-1.45605111416771,-0.275034779901735,-0.140490465887186,-47.0874539892372,6.16501361873383,-14.8568883789296,-9.64436767389998e-05,-4.80131529911887e-06,9.65631162066461e-05,1.0
0.1375,-1.59203833562578,-0.279706331293226,-0.138560872104806,-47.1278068028899,5.62015724804857,-14.0576712301685,-9.55832583713346e-05,-4.79112759421696e-06,9.57032610965026e-05,1.0
0.1375,-1.72802555708386,-0.284082252307373,-0.136654061246268,-47.1681880882659,5.25365600650012,-13.3203469517137,-9.47154185269028e-05,-4.7809394345677e-06,9.48360052332624e-05,1.0
0.1375,-1.86401277854193,-0.288144602023757,-0.134776588253066,-47.2085693736418,5.07387340583593,-12.6200216136651,-9.38359880819917e-05,-4.77075172966579e-06,9.39571856293588e-05,1.0
0.1375,-2.0,-0.291841425452597,-0.132921330615301,-47.2489221872945,5.08917295780342,-11.931466792894,-9.29405359784141e-05,-4.76056357001653e-06,9.306237797015e-05,1.0
0.1375,-2.0,-0.291841425452597,-0.132921330615301,-47.2489392131811,5.10177905071858,-11.931466792894,-9.29405359784141e-05,-4.76056357001653e-06,9.306237797015e-05,1.0
0.1375,-2.1,-0.292657054941318,-0.131585341698324,-47.2786131878535,5.14576725717378,-11.4193076954662,-9.22690887819044e-05,-4.75307206215803e-06,9.23914305478112e-05,1.0
0.1375,-2.2,-0.292773254439585,-0.130254787817674,-47.3083080995839,5.20233373704831,-10.9018958041386,-9.15844866540283e-05,-4.74558009955217e-06,9.17073537191165e-05,1.0
0.1375,-2.3,-0.292197606411949,-0.12893125634098,-47.3380030113143,5.27212666997537,-10.3781598430106,-9.08848232938908e-05,-4.73808813694632e-06,9.10082445955048e-05,1.0
0.1375,-2.4,-0.290927966436133,-0.127613059470999,-47.3676769859865,5.35579423558815,-9.84700671324582,-9.01682142284699e-05,-4.73059662908781e-06,9.02922222653666e-05,1.0
0.1375,-2.4,-0.290927966436133,-0.127613059470999,-47.3676935799107,5.3519970336325,-9.84700671324582,-9.01682142284699e-05,-4.73059662908781e-06,9.02922222653666e-05,1.0
0.1375,-2.53,-0.288276580712127,-0.125920059797306,-47.4062697469847,5.48595572467454,-9.1427917905155,-8.92082098289393e-05,-4.72085730507388e-06,8.93330352925441e-05,1.0
0.1375,-2.66,-0.28451817661051,-0.124235806200607,-47.4448731322342,5.62697863648831,-8.42033875751132,-8.82122185430489e-05,-4.71111752631259e-06,8.83379314260491e-05,1.0
0.1375,-2.79,-0.27969956465145,-0.122562818513664,-47.4834765174837,5.77412622083028,-7.67917397059487,-8.71759693836793e-05,-4.70137820229866e-06,8.73026494156119e-05,1.0
0.1375,-2.92,-0.273871457376973,-0.120898362241912,-47.5220526845577,5.92645892945693,-6.91885488498299,-8.60952131915837e-05,-4.69163887828472e-06,8.62229505982514e-05,1.0
0.1375,-2.92,-0.273871457376973,-0.120898362241912,-47.5220714429067,5.92490697677732,-6.91885488498299,-8.60952131915837e-05,-4.69163887828472e-06,8.62229505982514e-05,1.0
0.1375,-3.05,-0.267027102210973,-0.119255909789819,-47.5606476099808,6.07899315405033,-6.13884554212787,-8.49657735670917e-05,-4.68189955427078e-06,8.5094669993429e-05,1.0
0.1375,-3.18,-0.259212025909589,-0.117621692901246,-47.5992509952303,6.2385013190691,-5.33807278489533,-8.37835468701087e-05,-4.67216023025685e-06,8.39137164434569e-05,1.0
0.1375,-3.31,-0.250446636810283,-0.115998080436384,-47.6378543804798,6.40320043064464,-4.5162355191585,-8.25445094960742e-05,-4.66242090624291e-06,8.2676080075524e-05,1.0
0.1375,-3.44,-0.240747989975015,-0.114382495263127,-47.6764305475537,6.57285944758798,-3.67303491037702,-8.12447106000036e-05,-4.65268158222898e-06,8.13778252743581e-05,1.0
0.1375,-3.44,-0.240747989975015,-0.114382495263127,-47.6764493059029,6.57278961761827,-3.67303491037702,-8.12447106000036e-05,-4.65268158222898e-06,8.13778252743581e-05,1.0
0.1375,-3.57,-0.230110476307573,-0.112787602762853,-47.715025472977,6.75033349023323,-2.80727823942182,-7.98802575445734e-05,-4.64294225821504e-06,8.00150764431335e-05,1.0
