Class,fm_k,ft_0_k,ft_90_k,fc_0_k,fc_90_k,fv_k,Em_0_mean,Em_0_k,Em_90_mean,Gmean,rho_k,rho_mean
C14,14,7.2,0.4,16,2,3,7,4.7,0.23,0.44,290,350
C16,16,8.5,0.4,17,2.2,3.2,8,5.4,0.27,0.5,310,370
C18,18,10,0.4,18,2.2,3.4,9,6,0.3,0.56,320,380
C20,20,11.5,0.4,19,2.3,3.6,9.5,6.4,0.32,0.59,330,400
C22,22,13,0.4,20,2.4,3.8,10,6.7,0.33,0.63,340,410
C24,24,14.5,0.4,21,2.5,4,11,7.4,0.37,0.69,350,420
C27,27,16.5,0.4,22,2.5,4,11.5,7.7,0.38,0.72,360,430
C30,30,19,0.4,24,2.7,4,12,8,0.4,0.75,380,460
C35,35,22.5,0.4,25,2.7,4,13,8.7,0.43,0.81,390,470
C40,40,26,0.4,27,2.8,4,14,9.4,0.47,0.88,400,480
C45,45,30,0.4,29,2.9,4,15,10.1,0.5,0.94,410,490
C50,50,33.5,0.4,30,3,4,16,10.7,0.53,1,430,520
