,,?droog [kN/m³],?nat [kN/m³],c' [kPa],?' [°],?' [°],E50ref [kN/m²],Eoedref [kN/m²],EURref [kN/m²],?0.7ref [10??],G?ref [kN/m²],m [-]
Layer,Dutchname,gammadry,gammasat,cref,phi,psi,E50ref,Eoedref,Eurref,gamma07,G0ref,m
0,Verharding,18,20,0.5,32.5,2.5,20000,20000,60000,1.00E-04,89500,0.5
1,Ophooglaag,17,19,1,30,0,17134,15000,50000,1.00E-04,81000,0.5
7,GeulopvullingKlei,13.9,13.9,7.1,20,0,4284,2200,15000,2.00E-04,15000,0.8
8,Hollandveen,10.5,10.5,3.6,18,0,2000,1085,7000,2.00E-04,7000,0.8
9,OudeZeeklei,16.5,16.5,5,26,0,7500,3780,20000,2.00E-04,47000,0.8
10,Wadzand,17.9,17.9,1.4,27,0,10000,5890,25000,1.00E-04,53500,0.5
11,Hydrobiaklei,15.2,15.2,5.7,27,0,5000,2850,10000,2.00E-04,33000,0.8
12,Basisveen,11.7,11.7,4.3,18,0,2000,1065,7000,2.00E-04,7000,0.8
13,EersteZandlaag,16.6,19.7,0.1,33,3,35000,20000,100000,1.00E-04,121500,0.5
14,Allerod,18.5,18.5,0.1,28,0,15000,7000,30000,1.00E-04,59500,0.8
15,Geulopvulling,18.6,18.6,0.1,27,0,8400,4000,25000,1.00E-04,53500,0.8
17,TweedeZandlaag,18,20,0.1,33,3,32000,25000,80000,1.00E-04,105500,0.5
